# f_(Hz) ASD(f)_(Hz^-0.5)
1.174897999999999998e+00 2.202459000000000030e-16
1.177605999999999931e+00 2.163857999999999938e-16
1.180320999999999954e+00 2.125977999999999951e-16
1.183041999999999927e+00 2.088804000000000060e-16
1.185769000000000073e+00 2.052326000000000091e-16
1.188501999999999947e+00 2.016530999999999921e-16
1.191241999999999912e+00 1.981406999999999983e-16
1.193988000000000049e+00 1.946943000000000041e-16
1.196739999999999915e+00 1.913128000000000102e-16
1.199499000000000093e+00 1.879949000000000041e-16
1.202263999999999999e+00 1.847397000000000001e-16
1.205035999999999996e+00 1.815459999999999922e-16
1.207813999999999943e+00 1.784127000000000059e-16
1.210598000000000063e+00 1.753389999999999881e-16
1.213389000000000051e+00 1.723237000000000070e-16
1.216185999999999989e+00 1.693659000000000026e-16
1.218990000000000018e+00 1.664645000000000004e-16
1.221799999999999997e+00 1.636186999999999967e-16
1.224615999999999927e+00 1.608274999999999988e-16
1.227438999999999947e+00 1.580899999999999962e-16
1.230269000000000057e+00 1.554054000000000097e-16
1.233104999999999896e+00 1.527726999999999975e-16
1.235946999999999907e+00 1.501909999999999984e-16
1.238796999999999926e+00 1.476596999999999971e-16
1.241651999999999978e+00 1.451778000000000011e-16
1.244515000000000038e+00 1.427445000000000065e-16
1.247382999999999909e+00 1.403590999999999914e-16
1.250259000000000009e+00 1.380209000000000080e-16
1.253141000000000060e+00 1.357289999999999963e-16
1.256029999999999980e+00 1.334827000000000085e-16
1.258925000000000072e+00 1.312814000000000047e-16
1.261827999999999950e+00 1.291243000000000056e-16
1.264736000000000082e+00 1.270107999999999960e-16
1.267652000000000001e+00 1.249402000000000033e-16
1.270574000000000092e+00 1.229118000000000057e-16
1.273503000000000052e+00 1.209250999999999945e-16
1.276439000000000101e+00 1.189795000000000039e-16
1.279381000000000101e+00 1.170743000000000119e-16
1.282331000000000110e+00 1.152089000000000033e-16
1.285287000000000068e+00 1.133829000000000009e-16
1.288249999999999895e+00 1.115956000000000073e-16
1.291218999999999895e+00 1.098465999999999960e-16
1.294195999999999902e+00 1.081353000000000011e-16
1.297179000000000082e+00 1.064612999999999960e-16
1.300170000000000048e+00 1.048240000000000024e-16
1.303166999999999964e+00 1.032230000000000061e-16
1.306170999999999971e+00 1.016577999999999984e-16
1.309182000000000068e+00 1.001280999999999965e-16
1.312200000000000033e+00 9.863343999999999676e-17
1.315225000000000088e+00 9.717335999999999582e-17
1.318257000000000012e+00 9.574752000000000557e-17
1.321296000000000026e+00 9.435556000000000455e-17
1.324341999999999908e+00 9.299712999999999413e-17
1.327395000000000103e+00 9.167189999999999675e-17
1.330454000000000025e+00 9.037957000000000480e-17
1.333520999999999956e+00 8.911983000000000013e-17
1.336595999999999895e+00 8.789240999999999438e-17
1.339677000000000007e+00 8.669704999999999737e-17
1.342764999999999986e+00 8.553352000000000122e-17
1.345860000000000056e+00 8.440157999999999983e-17
1.348962999999999912e+00 8.330105000000000096e-17
1.352073000000000080e+00 8.223173000000000363e-17
1.355188999999999977e+00 8.119346999999999788e-17
1.358313000000000104e+00 8.018611000000000018e-17
1.361445000000000016e+00 7.920954000000000569e-17
1.364583000000000101e+00 7.826365999999999544e-17
1.367728999999999973e+00 7.734838999999999615e-17
1.370881999999999934e+00 7.646366999999999397e-17
1.374041999999999986e+00 7.560946999999999431e-17
1.377208999999999905e+00 7.478577999999999897e-17
1.380384000000000055e+00 7.399262000000000434e-17
1.383566000000000074e+00 7.323004000000000142e-17
1.386756000000000100e+00 7.249810000000000406e-17
1.389952999999999994e+00 7.179689999999999427e-17
1.393156999999999979e+00 7.112657999999999613e-17
1.396368000000000054e+00 7.048728999999999496e-17
1.399586999999999914e+00 6.987924000000000227e-17
1.402814000000000005e+00 6.930264000000000489e-17
1.406047000000000047e+00 6.875777999999999992e-17
1.409289000000000014e+00 6.824493999999999857e-17
1.412538000000000071e+00 6.776447999999999766e-17
1.415793999999999997e+00 6.731679000000000093e-17
1.419057999999999931e+00 6.690231000000000312e-17
1.422328999999999954e+00 6.652153000000000228e-17
1.425607999999999986e+00 6.617498000000000161e-17
1.428894000000000108e+00 6.586328000000000041e-17
1.432188000000000017e+00 6.558708000000000492e-17
1.435489000000000015e+00 6.534712000000000516e-17
1.438798999999999939e+00 6.514421000000000321e-17
1.442115000000000036e+00 6.497922000000000267e-17
1.445440000000000058e+00 6.485312999999999967e-17
1.448771999999999949e+00 6.476700999999999877e-17
1.452112000000000069e+00 6.472202999999999888e-17
1.455459000000000058e+00 6.471949000000000012e-17
1.458814000000000055e+00 6.476077999999999877e-17
1.462177000000000060e+00 6.484746999999999565e-17
1.465548000000000073e+00 6.498127000000000336e-17
1.468925999999999954e+00 6.516403999999999519e-17
1.472312000000000065e+00 6.539786000000000339e-17
1.475707000000000102e+00 6.568500999999999959e-17
1.479108000000000089e+00 6.602800999999999846e-17
1.482518000000000002e+00 6.642965000000000305e-17
1.485935999999999924e+00 6.689301000000000117e-17
1.489360999999999935e+00 6.742151000000000572e-17
1.492793999999999954e+00 6.801895999999999633e-17
1.496235999999999899e+00 6.868961999999999488e-17
1.499684999999999935e+00 6.943821000000000208e-17
1.503141999999999978e+00 7.027004999999999688e-17
1.506607000000000030e+00 7.119110000000000324e-17
1.510080000000000089e+00 7.220807999999999457e-17
1.513560999999999934e+00 7.332856999999999900e-17
1.517050000000000010e+00 7.456115999999999839e-17
1.520547000000000093e+00 7.591562999999999454e-17
1.524053000000000102e+00 7.740313999999999965e-17
1.527565999999999979e+00 7.903649000000000183e-17
1.531087000000000087e+00 8.083040000000000094e-17
1.534616999999999898e+00 8.280192999999999463e-17
1.538154999999999939e+00 8.497089000000000316e-17
1.541700000000000070e+00 8.736045999999999467e-17
1.545253999999999905e+00 8.999792999999999856e-17
1.548817000000000110e+00 9.291557999999999628e-17
1.552386999999999961e+00 9.615195000000000089e-17
1.555965999999999960e+00 9.975336000000000521e-17
1.559552000000000049e+00 1.037760000000000000e-16
1.563147999999999982e+00 1.082885999999999986e-16
1.566751000000000005e+00 1.133763999999999878e-16
1.570362999999999953e+00 1.191458999999999971e-16
1.573982999999999910e+00 1.257324000000000105e-16
1.577611000000000097e+00 1.333102000000000042e-16
1.581247999999999987e+00 1.421077000000000007e-16
1.584893000000000107e+00 1.524299999999999939e-16
1.588546999999999931e+00 1.646946000000000049e-16
1.592208999999999985e+00 1.794874000000000084e-16
1.595879000000000048e+00 1.976577000000000110e-16
1.599558000000000035e+00 2.204849999999999974e-16
1.603245000000000031e+00 2.499902999999999909e-16
1.606940999999999953e+00 2.895649000000000207e-16
1.610646000000000022e+00 3.453668999999999954e-16
1.614359000000000099e+00 4.298681000000000184e-16
1.618079999999999963e+00 5.727318999999999931e-16
1.621809999999999974e+00 8.660096000000000176e-16
1.625548999999999911e+00 1.810018000000000138e-15
1.629296000000000078e+00 1.649063999999999929e-14
1.633051999999999948e+00 1.460738999999999931e-15
1.636816000000000049e+00 7.579735000000000290e-16
1.640589999999999993e+00 5.089656999999999510e-16
1.644371999999999945e+00 3.815423000000000132e-16
1.648161999999999905e+00 3.041542000000000051e-16
1.651961999999999930e+00 2.521843999999999845e-16
1.655769999999999964e+00 2.148882999999999877e-16
1.659586999999999923e+00 1.868286000000000013e-16
1.663413000000000030e+00 1.649587000000000096e-16
1.667246999999999924e+00 1.474385999999999914e-16
1.671091000000000104e+00 1.330916999999999988e-16
1.674943000000000071e+00 1.211304999999999919e-16
1.678803999999999963e+00 1.110078999999999992e-16
1.682674000000000003e+00 1.023320999999999949e-16
1.686552999999999969e+00 9.481510999999999838e-17
1.690441000000000082e+00 8.824061000000000613e-17
1.694337999999999900e+00 8.244282999999999783e-17
1.698244000000000087e+00 7.729268000000000525e-17
1.702158000000000060e+00 7.268812999999999534e-17
1.706082000000000098e+00 6.854746000000000087e-17
1.710015000000000063e+00 6.480447999999999492e-17
1.713956999999999953e+00 6.140498000000000003e-17
1.717907999999999991e+00 5.830414999999999802e-17
1.721869000000000094e+00 5.546464000000000195e-17
1.725837999999999983e+00 5.285505000000000134e-17
1.729816000000000020e+00 5.044880999999999742e-17
1.733803999999999901e+00 4.822328999999999695e-17
1.737800999999999929e+00 4.615905999999999757e-17
1.741807000000000105e+00 4.423941000000000024e-17
1.745821999999999985e+00 4.244981000000000169e-17
1.749846999999999930e+00 4.077764999999999810e-17
1.753880000000000106e+00 3.921187000000000242e-17
1.757924000000000042e+00 3.774276000000000023e-17
1.761975999999999987e+00 3.636174999999999990e-17
1.766037999999999997e+00 3.506125999999999797e-17
1.770108999999999932e+00 3.383454000000000177e-17
1.774189999999999934e+00 3.267558000000000251e-17
1.778278999999999943e+00 3.157900000000000122e-17
1.782378999999999936e+00 3.053999000000000107e-17
1.786488000000000076e+00 2.955418999999999820e-17
1.790605999999999920e+00 2.861771000000000270e-17
1.794734000000000052e+00 2.772698999999999917e-17
1.798871000000000109e+00 2.687881999999999854e-17
1.803018000000000010e+00 2.607029000000000089e-17
1.807174000000000058e+00 2.529874999999999952e-17
1.811339999999999950e+00 2.456175999999999926e-17
1.815515999999999908e+00 2.385711999999999867e-17
1.819701000000000013e+00 2.318279000000000143e-17
1.823895999999999962e+00 2.253689999999999908e-17
1.828100000000000058e+00 2.191774999999999880e-17
1.832313999999999998e+00 2.132375000000000026e-17
1.836538000000000004e+00 2.075344000000000133e-17
1.840772000000000075e+00 2.020549000000000110e-17
1.845015000000000072e+00 1.967864000000000147e-17
1.849269000000000052e+00 1.917173999999999995e-17
1.853531999999999957e+00 1.868370999999999994e-17
1.857804999999999929e+00 1.821356999999999914e-17
1.862087000000000048e+00 1.776038999999999860e-17
1.866379999999999928e+00 1.732328999999999959e-17
1.870681999999999956e+00 1.690147999999999952e-17
1.874994000000000050e+00 1.649419999999999964e-17
1.879316999999999904e+00 1.610074999999999963e-17
1.883648999999999907e+00 1.572047000000000122e-17
1.887990999999999975e+00 1.535273999999999894e-17
1.892344000000000026e+00 1.499697999999999860e-17
1.896706000000000003e+00 1.465264999999999883e-17
1.901078000000000046e+00 1.431923999999999900e-17
1.905461000000000071e+00 1.399626000000000105e-17
1.909853000000000023e+00 1.368326999999999945e-17
1.914255999999999958e+00 1.337982999999999947e-17
1.918668999999999958e+00 1.308554000000000071e-17
1.923092000000000024e+00 1.280002000000000070e-17
1.927524999999999933e+00 1.252290999999999957e-17
1.931967999999999908e+00 1.225387999999999970e-17
1.936422000000000088e+00 1.199259000000000068e-17
1.940885999999999889e+00 1.173874999999999926e-17
1.945359999999999978e+00 1.149206000000000015e-17
1.949845000000000050e+00 1.125224999999999958e-17
1.954339000000000048e+00 1.101905999999999967e-17
1.958844999999999947e+00 1.079224000000000075e-17
1.963359999999999994e+00 1.057155999999999954e-17
1.967886000000000024e+00 1.035679000000000049e-17
1.972423000000000037e+00 1.014771000000000006e-17
1.976969999999999894e+00 9.944139000000000331e-18
1.981527000000000038e+00 9.745865999999999538e-18
1.986094999999999944e+00 9.552710999999999274e-18
1.990672999999999915e+00 9.364498000000000721e-18
1.995262000000000091e+00 9.181058000000000101e-18
1.999862000000000029e+00 9.002231000000000027e-18
2.004471999999999809e+00 8.827863999999999698e-18
2.009093000000000018e+00 8.657809000000000490e-18
2.013723999999999847e+00 8.491925000000000364e-18
2.018365999999999882e+00 8.330078999999999538e-18
2.023019000000000123e+00 8.172141999999999359e-18
2.027683000000000124e+00 8.017989000000000762e-18
2.032357000000000191e+00 7.867501999999999723e-18
2.037042000000000019e+00 7.720568000000000563e-18
2.041738000000000053e+00 7.577079000000000541e-18
2.046444999999999848e+00 7.436927999999999506e-18
2.051162000000000152e+00 7.300015000000000056e-18
2.055890999999999913e+00 7.166244999999999265e-18
2.060630000000000184e+00 7.035523000000000369e-18
2.065380000000000216e+00 6.907761999999999621e-18
2.070141000000000009e+00 6.782873999999999920e-18
2.074914000000000147e+00 6.660776999999999698e-18
2.079696999999999907e+00 6.541391000000000263e-18
2.084490999999999872e+00 6.424640000000000197e-18
2.089296000000000042e+00 6.310450000000000191e-18
2.094113000000000113e+00 6.198748999999999956e-18
2.098939999999999806e+00 6.089468000000000052e-18
2.103778000000000148e+00 5.982541999999999855e-18
2.108627999999999947e+00 5.877906999999999796e-18
2.113488999999999951e+00 5.775499999999999813e-18
2.118361000000000161e+00 5.675262000000000209e-18
2.123244999999999827e+00 5.577135000000000022e-18
2.128139000000000003e+00 5.481063999999999911e-18
2.133045000000000080e+00 5.386995000000000046e-18
2.137961999999999918e+00 5.294875999999999620e-18
2.142891000000000101e+00 5.204656999999999931e-18
2.147829999999999906e+00 5.116287999999999966e-18
2.152782000000000195e+00 5.029722999999999841e-18
2.157744000000000106e+00 4.944916999999999955e-18
2.162717999999999918e+00 4.861824999999999935e-18
2.167704000000000075e+00 4.780403999999999974e-18
2.172700999999999993e+00 4.700614000000000339e-18
2.177709999999999813e+00 4.622412999999999965e-18
2.182729999999999837e+00 4.545763999999999965e-18
2.187762000000000207e+00 4.470626999999999839e-18
2.192804999999999893e+00 4.396968000000000006e-18
2.197859999999999925e+00 4.324750000000000041e-18
2.202926000000000162e+00 4.253939000000000365e-18
2.208004999999999995e+00 4.184502000000000138e-18
2.213095000000000034e+00 4.116406000000000066e-18
2.218195999999999835e+00 4.049619000000000361e-18
2.223310000000000120e+00 3.984111999999999774e-18
2.228435000000000166e+00 3.919854999999999855e-18
2.233572000000000113e+00 3.856817999999999841e-18
2.238720999999999961e+00 3.794973999999999818e-18
2.243882000000000154e+00 3.734295999999999870e-18
2.249054999999999804e+00 3.674757000000000082e-18
2.254239000000000104e+00 3.616332000000000334e-18
2.259436000000000000e+00 3.558995000000000220e-18
2.264644000000000101e+00 3.502721999999999904e-18
2.269864999999999799e+00 3.447489999999999826e-18
2.275097000000000147e+00 3.393275000000000150e-18
2.280342000000000091e+00 3.340055999999999956e-18
2.285598999999999936e+00 3.287809000000000175e-18
2.290868000000000126e+00 3.236515000000000069e-18
2.296149000000000218e+00 3.186152999999999874e-18
2.301442000000000210e+00 3.136701999999999828e-18
2.306747000000000103e+00 3.088142999999999962e-18
2.312065000000000037e+00 3.040456000000000025e-18
2.317394999999999872e+00 2.993623999999999841e-18
2.322737000000000052e+00 2.947627999999999828e-18
2.328091000000000133e+00 2.902449999999999913e-18
2.333457999999999810e+00 2.858073999999999819e-18
2.338836999999999833e+00 2.814481999999999859e-18
2.344228999999999896e+00 2.771658000000000140e-18
2.349632999999999861e+00 2.729585999999999999e-18
2.355049000000000170e+00 2.688250999999999825e-18
2.360478000000000076e+00 2.647637000000000112e-18
2.365920000000000023e+00 2.607730999999999887e-18
2.371373999999999871e+00 2.568516000000000131e-18
2.376840000000000064e+00 2.529980000000000153e-18
2.382318999999999853e+00 2.492107999999999959e-18
2.387811000000000128e+00 2.454888000000000014e-18
2.393315999999999999e+00 2.418304999999999937e-18
2.398833000000000215e+00 2.382348000000000090e-18
2.404363000000000028e+00 2.347002999999999991e-18
2.409905000000000186e+00 2.312259000000000000e-18
2.415461000000000080e+00 2.278103999999999815e-18
2.421028999999999876e+00 2.244525999999999900e-18
2.426610000000000156e+00 2.211512999999999951e-18
2.432204000000000033e+00 2.179054999999999842e-18
2.437810999999999950e+00 2.147141999999999834e-18
2.443430999999999909e+00 2.115761000000000108e-18
2.449063000000000212e+00 2.084903000000000053e-18
2.454708999999999808e+00 2.054558999999999823e-18
2.460367999999999888e+00 2.024716999999999886e-18
2.466038999999999870e+00 1.995368999999999909e-18
2.471724000000000032e+00 1.966503999999999871e-18
2.477421999999999791e+00 1.938113999999999824e-18
2.483133000000000035e+00 1.910189999999999925e-18
2.488856999999999875e+00 1.882722999999999947e-18
2.494594999999999896e+00 1.855704000000000044e-18
2.500344999999999818e+00 1.829123999999999990e-18
2.506108999999999920e+00 1.802977000000000017e-18
2.511886000000000063e+00 1.777252999999999999e-18
2.517676999999999943e+00 1.751943999999999989e-18
2.523480999999999863e+00 1.727042999999999940e-18
2.529297999999999824e+00 1.702542999999999993e-18
2.535128999999999966e+00 1.678436000000000010e-18
2.540973000000000148e+00 1.654714000000000045e-18
2.546829999999999927e+00 1.631370999999999945e-18
2.552700999999999887e+00 1.608398999999999957e-18
2.558586000000000027e+00 1.585793000000000017e-18
2.564484000000000208e+00 1.563544999999999988e-18
2.570396000000000125e+00 1.541648000000000011e-18
2.576321000000000083e+00 1.520097000000000024e-18
2.582260000000000222e+00 1.498884999999999979e-18
2.588213000000000097e+00 1.478005999999999915e-18
2.594179000000000013e+00 1.457454999999999961e-18
2.600159999999999805e+00 1.437223999999999980e-18
2.606154000000000082e+00 1.417308999999999998e-18
2.612160999999999955e+00 1.397704000000000055e-18
2.618183000000000149e+00 1.378402999999999999e-18
2.624219000000000079e+00 1.359402000000000049e-18
2.630268000000000050e+00 1.340693999999999963e-18
2.636331000000000202e+00 1.322274999999999961e-18
2.642408999999999786e+00 1.304139000000000083e-18
2.648499999999999854e+00 1.286281999999999971e-18
2.654605999999999799e+00 1.268698000000000050e-18
2.660724999999999785e+00 1.251382999999999961e-18
2.666859000000000091e+00 1.234332999999999925e-18
2.673005999999999993e+00 1.217541999999999981e-18
2.679168000000000216e+00 1.201005999999999963e-18
2.685344000000000175e+00 1.184721000000000092e-18
2.691535000000000011e+00 1.168683000000000008e-18
2.697738999999999887e+00 1.152887000000000035e-18
2.703958000000000084e+00 1.137327999999999916e-18
2.710192000000000156e+00 1.122004000000000050e-18
2.716438999999999826e+00 1.106909999999999990e-18
2.722700999999999816e+00 1.092041999999999955e-18
2.728978000000000126e+00 1.077395999999999972e-18
2.735269000000000172e+00 1.062968999999999964e-18
2.741573999999999955e+00 1.048756999999999958e-18
2.747894000000000059e+00 1.034755999999999981e-18
2.754229000000000038e+00 1.020962000000000061e-18
2.760578000000000198e+00 1.007373000000000017e-18
2.766941999999999791e+00 9.939844999999999282e-19
2.773320000000000007e+00 9.807934000000000755e-19
2.779713000000000100e+00 9.677964999999999409e-19
2.786121000000000070e+00 9.549905999999999696e-19
2.792543999999999915e+00 9.423724000000000008e-19
2.798980999999999941e+00 9.299388999999999583e-19
2.805433999999999983e+00 9.176869999999999303e-19
2.811901000000000206e+00 9.056137000000000332e-19
2.818382999999999861e+00 8.937162000000000547e-19
2.824879999999999836e+00 8.819914000000000830e-19
2.831392000000000131e+00 8.704366999999999622e-19
2.837918999999999858e+00 8.590492000000000296e-19
2.844460999999999906e+00 8.478262000000000046e-19
2.851017999999999830e+00 8.367651000000000204e-19
2.857591000000000214e+00 8.258630999999999609e-19
2.864177999999999891e+00 8.151179000000000436e-19
2.870781000000000027e+00 8.045266999999999601e-19
2.877397999999999900e+00 7.940872000000000243e-19
2.884030999999999789e+00 7.837969000000000121e-19
2.890680000000000138e+00 7.736534000000000167e-19
2.897343999999999919e+00 7.636543999999999669e-19
2.904023000000000021e+00 7.537974999999999558e-19
2.910716999999999999e+00 7.440805999999999687e-19
2.917426999999999992e+00 7.345013000000000022e-19
2.924151999999999862e+00 7.250575000000000417e-19
2.930893000000000193e+00 7.157470999999999761e-19
2.937650000000000095e+00 7.065678999999999549e-19
2.944421999999999873e+00 6.975178999999999915e-19
2.951208999999999971e+00 6.885949999999999748e-19
2.958012999999999781e+00 6.797973000000000428e-19
2.964831000000000216e+00 6.711226999999999880e-19
2.971665999999999919e+00 6.625695000000000049e-19
2.978515999999999941e+00 6.541355999999999823e-19
2.985383000000000120e+00 6.458191999999999901e-19
2.992265000000000175e+00 6.376185000000000019e-19
2.999162999999999801e+00 6.295316999999999911e-19
3.006076000000000192e+00 6.215570000000000277e-19
3.013005999999999851e+00 6.136927000000000171e-19
3.019951999999999970e+00 6.059370999999999611e-19
3.026912999999999965e+00 5.982884999999999577e-19
3.033891000000000115e+00 5.907453999999999689e-19
3.040884999999999838e+00 5.833059000000000364e-19
3.047895000000000021e+00 5.759686999999999858e-19
3.054921000000000220e+00 5.687321000000000115e-19
3.061962999999999990e+00 5.615945000000000473e-19
3.069021999999999917e+00 5.545546000000000151e-19
3.076096999999999859e+00 5.476107000000000131e-19
3.083187999999999818e+00 5.407614999999999633e-19
3.090294999999999792e+00 5.340053999999999920e-19
3.097418999999999922e+00 5.273411999999999531e-19
3.104560000000000208e+00 5.207674000000000012e-19
3.111715999999999926e+00 5.142826000000000302e-19
3.118889999999999940e+00 5.078855999999999902e-19
3.126078999999999830e+00 5.015749999999999677e-19
3.133286000000000016e+00 4.953493999999999528e-19
3.140509000000000217e+00 4.892077999999999523e-19
3.147747999999999990e+00 4.831487000000000244e-19
3.155005000000000059e+00 4.771709999999999549e-19
3.162278000000000144e+00 4.712733999999999548e-19
3.169566999999999801e+00 4.654548000000000025e-19
3.176874000000000198e+00 4.597139999999999522e-19
3.184197000000000166e+00 4.540498000000000428e-19
3.191537999999999986e+00 4.484611999999999923e-19
3.198894999999999822e+00 4.429469000000000115e-19
3.206268999999999814e+00 4.375060000000000392e-19
3.213661000000000101e+00 4.321372999999999774e-19
3.221068999999999960e+00 4.268397999999999773e-19
3.228493999999999975e+00 4.216124999999999974e-19
3.235936999999999841e+00 4.164541999999999880e-19
3.243396000000000168e+00 4.113641000000000123e-19
3.250872999999999902e+00 4.063411000000000006e-19
3.258366999999999791e+00 4.013842000000000077e-19
3.265877999999999837e+00 3.964925000000000205e-19
3.273407000000000178e+00 3.916649999999999975e-19
3.280952999999999786e+00 3.869009000000000018e-19
3.288515999999999995e+00 3.821991999999999920e-19
3.296097000000000055e+00 3.775589000000000229e-19
3.303694999999999826e+00 3.729792999999999934e-19
3.311310999999999893e+00 3.684594999999999864e-19
3.318944999999999812e+00 3.639985000000000088e-19
3.326595000000000191e+00 3.595956000000000073e-19
3.334264000000000117e+00 3.552499000000000170e-19
3.341950000000000198e+00 3.509606000000000047e-19
3.349654000000000131e+00 3.467270000000000136e-19
3.357375999999999916e+00 3.425481000000000023e-19
3.365115999999999996e+00 3.384232999999999940e-19
3.372872999999999788e+00 3.343517000000000237e-19
3.380647999999999875e+00 3.303327000000000184e-19
3.388441999999999954e+00 3.263654000000000129e-19
3.396253000000000188e+00 3.224491999999999825e-19
3.404081999999999830e+00 3.185834000000000184e-19
3.411929000000000212e+00 3.147671000000000112e-19
3.419794000000000000e+00 3.109998000000000124e-19
3.427677999999999781e+00 3.072806999999999888e-19
3.435579000000000160e+00 3.036092000000000119e-19
3.443499000000000088e+00 2.999845000000000002e-19
3.451436999999999866e+00 2.964061999999999856e-19
3.459394000000000080e+00 2.928734000000000027e-19
3.467369000000000145e+00 2.893856000000000069e-19
3.475362000000000062e+00 2.859422000000000214e-19
3.483372999999999831e+00 2.825424000000000131e-19
3.491403000000000034e+00 2.791858999999999937e-19
3.499451999999999785e+00 2.758717999999999980e-19
3.507518999999999831e+00 2.725997000000000094e-19
3.515604000000000173e+00 2.693689000000000231e-19
3.523709000000000202e+00 2.661790000000000225e-19
3.531832000000000082e+00 2.630293000000000026e-19
3.539972999999999814e+00 2.599193000000000149e-19
3.548134000000000121e+00 2.568483999999999864e-19
3.556312999999999835e+00 2.538161000000000168e-19
3.564510999999999985e+00 2.508219000000000131e-19
3.572728000000000126e+00 2.478652999999999787e-19
3.580963999999999814e+00 2.449456999999999850e-19
3.589218999999999937e+00 2.420627000000000154e-19
3.597493000000000052e+00 2.392156999999999970e-19
3.605786000000000158e+00 2.364043000000000094e-19
3.614098999999999950e+00 2.336278999999999796e-19
3.622430000000000039e+00 2.308862000000000156e-19
3.630780999999999814e+00 2.281785999999999962e-19
3.639149999999999885e+00 2.255047000000000012e-19
3.647539999999999782e+00 2.228639999999999856e-19
3.655947999999999976e+00 2.202560999999999812e-19
3.664375999999999856e+00 2.176804999999999912e-19
3.672823000000000171e+00 2.151369000000000033e-19
3.681290000000000173e+00 2.126246999999999925e-19
3.689776000000000167e+00 2.101435999999999946e-19
3.698281999999999847e+00 2.076930999999999888e-19
3.706806999999999963e+00 2.052728000000000068e-19
3.715352000000000210e+00 2.028824000000000120e-19
3.723917000000000144e+00 2.005214000000000077e-19
3.732502000000000209e+00 1.981895000000000057e-19
3.741105999999999820e+00 1.958862000000000093e-19
3.749730000000000008e+00 1.936112000000000060e-19
3.758373999999999882e+00 1.913641000000000033e-19
3.767037999999999887e+00 1.891445000000000088e-19
3.775722000000000023e+00 1.869521000000000100e-19
3.784425999999999846e+00 1.847865999999999944e-19
3.793149999999999800e+00 1.826474999999999895e-19
3.801893999999999885e+00 1.805345000000000070e-19
3.810658000000000101e+00 1.784472000000000062e-19
