# f_(Hz) PSD(f)_(Hz^-1)
1.458814000000000055e+00 4.193958626208400102e-33
1.462177000000000060e+00 4.205194365400899591e-33
1.465548000000000073e+00 4.222565450812900301e-33
1.468925999999999954e+00 4.246352109121599085e-33
1.472312000000000065e+00 4.276880092579600646e-33
1.475707000000000102e+00 4.314520538700099700e-33
1.479108000000000089e+00 4.359698104560099904e-33
1.482518000000000002e+00 4.412898399122500635e-33
1.485935999999999924e+00 4.474674786860099873e-33
1.489360999999999935e+00 4.545660010680100824e-33
1.492793999999999954e+00 4.626578919481599277e-33
1.496235999999999899e+00 4.718263895744399161e-33
1.499684999999999935e+00 4.821665008004100496e-33
1.503141999999999978e+00 4.937879927002499226e-33
1.506607000000000030e+00 5.068172719210000349e-33
1.510080000000000089e+00 5.214006817286398926e-33
1.513560999999999934e+00 5.377079178244899775e-33
1.517050000000000010e+00 5.559366580545599741e-33
1.520547000000000093e+00 5.763182878296899210e-33
1.524053000000000102e+00 5.991246081859599852e-33
1.527565999999999979e+00 6.246766751520100181e-33
1.531087000000000087e+00 6.533553564159999678e-33
1.534616999999999898e+00 6.856159611724899338e-33
1.538154999999999939e+00 7.220052147392100167e-33
1.541700000000000070e+00 7.631849971411598613e-33
1.545253999999999905e+00 8.099627404284899652e-33
1.548817000000000110e+00 8.633305006736399693e-33
1.552386999999999961e+00 9.245197488802500172e-33
1.555965999999999960e+00 9.950732831289601537e-33
1.559552000000000049e+00 1.076945817600000051e-32
1.563147999999999982e+00 1.172642088996000017e-32
1.566751000000000005e+00 1.285420807695999661e-32
1.570362999999999953e+00 1.419574548680999828e-32
1.573982999999999910e+00 1.580863640976000363e-32
1.577611000000000097e+00 1.777160942404000234e-32
1.581247999999999987e+00 2.019459839929000125e-32
1.584893000000000107e+00 2.323490489999999785e-32
1.588546999999999931e+00 2.712431126915999906e-32
1.592208999999999985e+00 3.221572675876000405e-32
1.595879000000000048e+00 3.906856636929000537e-32
1.599558000000000035e+00 4.861363522499999652e-32
1.603245000000000031e+00 6.249515009408999277e-32
1.606940999999999953e+00 8.384783131201001312e-32
1.610646000000000022e+00 1.192782956156099987e-31
1.614359000000000099e+00 1.847865833976100051e-31
1.618079999999999963e+00 3.280218292776099815e-31
1.621809999999999974e+00 7.499726272921600655e-31
1.625548999999999911e+00 3.276165160324000603e-30
1.629296000000000078e+00 2.719412076095999750e-28
1.633051999999999948e+00 2.133758426120999925e-30
1.636816000000000049e+00 5.745238267022500483e-31
1.640589999999999993e+00 2.590460837764899465e-31
1.644371999999999945e+00 1.455745266892900102e-31
1.648161999999999905e+00 9.250977737764000650e-32
1.651961999999999930e+00 6.359697160335999303e-32
1.655769999999999964e+00 4.617698147688999549e-32
1.659586999999999923e+00 3.490492577796000252e-32
1.663413000000000030e+00 2.721137270569000489e-32
1.667246999999999924e+00 2.173814076995999819e-32
1.671091000000000104e+00 1.771340060889000020e-32
1.674943000000000071e+00 1.467259803024999725e-32
1.678803999999999963e+00 1.232275386240999933e-32
1.682674000000000003e+00 1.047185869040999877e-32
1.686552999999999969e+00 8.989905084312099319e-33
1.690441000000000082e+00 7.786405253172101496e-33
1.694337999999999900e+00 6.796820218408899637e-33
1.698244000000000087e+00 5.974158381582400895e-33
1.702158000000000060e+00 5.283564242896899453e-33
1.706082000000000098e+00 4.698754272451600066e-33
1.710015000000000063e+00 4.199620628070399677e-33
1.713956999999999953e+00 3.770571568800400095e-33
1.717907999999999991e+00 3.399373907222499576e-33
1.721869000000000094e+00 3.076326290329600331e-33
1.725837999999999983e+00 2.793656310502500295e-33
1.729816000000000020e+00 2.545082430416099696e-33
1.733803999999999901e+00 2.325485698424099676e-33
1.737800999999999929e+00 2.130658820083599933e-33
1.741807000000000105e+00 1.957125397148100146e-33
1.745821999999999985e+00 1.801986369036100130e-33
1.749846999999999930e+00 1.662816739522499822e-33
1.753880000000000106e+00 1.537570748896900211e-33
1.757924000000000042e+00 1.424515932417600002e-33
1.761975999999999987e+00 1.322176863062499989e-33
1.766037999999999997e+00 1.229291952787599892e-33
1.770108999999999932e+00 1.144776097011600199e-33
1.774189999999999934e+00 1.067693528336400246e-33
1.778278999999999943e+00 9.972332410000000639e-34
1.782378999999999936e+00 9.326909892001000748e-34
1.786488000000000076e+00 8.734501465560998189e-34
1.790605999999999920e+00 8.189733256441000734e-34
1.794734000000000052e+00 7.687859744600999223e-34
1.798871000000000109e+00 7.224709645923999054e-34
1.803018000000000010e+00 6.796600206841000040e-34
1.807174000000000058e+00 6.400267515624999811e-34
1.811339999999999950e+00 6.032800542975999722e-34
1.815515999999999908e+00 5.691621746943999150e-34
1.819701000000000013e+00 5.374417521841000722e-34
1.823895999999999962e+00 5.079118616099999331e-34
1.828100000000000058e+00 4.803877650624999175e-34
1.832313999999999998e+00 4.547023140625000390e-34
1.836538000000000004e+00 4.307052718336000698e-34
1.840772000000000075e+00 4.082618261401000369e-34
1.845015000000000072e+00 3.872488722496000482e-34
1.849269000000000052e+00 3.675556146275999857e-34
1.853531999999999957e+00 3.490810193640999815e-34
1.857804999999999929e+00 3.317341321448999821e-34
1.862087000000000048e+00 3.154314529520999515e-34
1.866379999999999928e+00 3.000963764241000014e-34
1.870681999999999956e+00 2.856600261903999846e-34
1.874994000000000050e+00 2.720586336399999901e-34
1.879316999999999904e+00 2.592341505625000033e-34
1.883648999999999907e+00 2.471331770209000187e-34
1.887990999999999975e+00 2.357066255075999633e-34
1.892344000000000026e+00 2.249094091203999505e-34
1.896706000000000003e+00 2.147001520224999451e-34
1.901078000000000046e+00 2.050406341775999792e-34
1.905461000000000071e+00 1.958952939876000122e-34
1.909853000000000023e+00 1.872318778928999757e-34
1.914255999999999958e+00 1.790198508288999757e-34
1.918668999999999958e+00 1.712313570916000156e-34
1.923092000000000024e+00 1.638405120004000098e-34
1.927524999999999933e+00 1.568232748680999908e-34
1.931967999999999908e+00 1.501575750543999914e-34
1.936422000000000088e+00 1.438222149081000076e-34
1.940885999999999889e+00 1.377982515624999820e-34
1.945359999999999978e+00 1.320674430435999942e-34
1.949845000000000050e+00 1.266131300624999972e-34
1.954339000000000048e+00 1.214196832835999998e-34
1.958844999999999947e+00 1.164724442176000216e-34
1.963359999999999994e+00 1.117578808335999856e-34
1.967886000000000024e+00 1.072630991041000045e-34
1.972423000000000037e+00 1.029760182441000090e-34
1.976969999999999894e+00 9.888590045132099942e-35
1.981527000000000038e+00 9.498190408995599333e-35
1.986094999999999944e+00 9.125428744952098280e-35
1.990672999999999915e+00 8.769382279200401608e-35
1.995262000000000091e+00 8.429182599936400297e-35
1.999862000000000029e+00 8.104016297736100429e-35
2.004471999999999809e+00 7.793118280249599273e-35
2.009093000000000018e+00 7.495765668048100870e-35
2.013723999999999847e+00 7.211279020562500474e-35
2.018365999999999882e+00 6.939021614624099373e-35
2.023019000000000123e+00 6.678390486816398473e-35
2.027683000000000124e+00 6.428814760412101362e-35
2.032357000000000191e+00 6.189758772000399671e-35
2.037042000000000019e+00 5.960717024262400658e-35
2.041738000000000053e+00 5.741212617224101331e-35
2.046444999999999848e+00 5.530789807718399737e-35
2.051162000000000152e+00 5.329021900022500310e-35
2.055890999999999913e+00 5.135506740002498468e-35
2.060630000000000184e+00 4.949858388352900740e-35
2.065380000000000216e+00 4.771717584864399284e-35
2.070141000000000009e+00 4.600737969987600097e-35
2.074914000000000147e+00 4.436595024372899452e-35
2.079696999999999907e+00 4.278979621488100282e-35
2.084490999999999872e+00 4.127599912960000301e-35
2.089296000000000042e+00 3.982177920250000389e-35
2.094113000000000113e+00 3.842448916500099986e-35
2.098939999999999806e+00 3.708162052302400029e-35
2.103778000000000148e+00 3.579080878176399927e-35
2.108627999999999947e+00 3.454979070064899904e-35
2.113488999999999951e+00 3.335640024999999868e-35
2.118361000000000161e+00 3.220859876864400199e-35
2.123244999999999827e+00 3.110443480822499812e-35
2.128139000000000003e+00 3.004206257209600102e-35
2.133045000000000080e+00 2.901971513002500020e-35
2.137961999999999918e+00 2.803571185537599436e-35
2.142891000000000101e+00 2.708845448764899851e-35
2.147829999999999906e+00 2.617640289894399808e-35
2.152782000000000195e+00 2.529811345672900074e-35
2.157744000000000106e+00 2.445220413688899912e-35
2.162717999999999918e+00 2.363734233062499850e-35
2.167704000000000075e+00 2.285226240321599918e-35
2.172700999999999993e+00 2.209577197699600386e-35
2.177709999999999813e+00 2.136670194256899935e-35
2.182729999999999837e+00 2.066397034369600073e-35
2.187762000000000207e+00 1.998650577312899796e-35
2.192804999999999893e+00 1.933332759302400033e-35
2.197859999999999925e+00 1.870346256250000064e-35
2.202926000000000162e+00 1.809599701572100305e-35
2.208004999999999995e+00 1.751005698800400089e-35
2.213095000000000034e+00 1.694479835683600084e-35
2.218195999999999835e+00 1.639941404516100243e-35
2.223310000000000120e+00 1.587314842854399948e-35
2.228435000000000166e+00 1.536526322102499938e-35
2.233572000000000113e+00 1.487504508512399759e-35
2.238720999999999961e+00 1.440182766067599973e-35
2.243882000000000154e+00 1.394496661561599903e-35
2.249054999999999804e+00 1.350383900904900014e-35
2.254239000000000104e+00 1.307785713422400137e-35
2.259436000000000000e+00 1.266644541002500110e-35
2.264644000000000101e+00 1.226906140928399981e-35
2.269864999999999799e+00 1.188518730009999873e-35
2.275097000000000147e+00 1.151431522562500111e-35
2.280342000000000091e+00 1.115597408313600023e-35
2.285598999999999936e+00 1.080968802048100146e-35
2.290868000000000126e+00 1.047502934522500023e-35
2.296149000000000218e+00 1.015157093940899911e-35
2.301442000000000210e+00 9.838899436803998628e-36
2.306747000000000103e+00 9.536627188449000262e-36
2.312065000000000037e+00 9.244372687936000596e-36
2.317394999999999872e+00 8.961784653375998767e-36
2.322737000000000052e+00 8.688510826383998533e-36
2.328091000000000133e+00 8.424216002499999732e-36
2.333457999999999810e+00 8.168586989475999275e-36
2.338836999999999833e+00 7.921308928323998578e-36
2.344228999999999896e+00 7.682088068964001216e-36
2.349632999999999861e+00 7.450639731396000595e-36
2.355049000000000170e+00 7.226693439000998654e-36
2.360478000000000076e+00 7.009981683768999985e-36
2.365920000000000023e+00 6.800260968360998867e-36
2.371373999999999871e+00 6.597274442256001030e-36
2.376840000000000064e+00 6.400798800400001364e-36
2.382318999999999853e+00 6.210602283663999789e-36
2.387811000000000128e+00 6.026475092544000170e-36
2.393315999999999999e+00 5.848199073024999512e-36
2.398833000000000215e+00 5.675581993104000532e-36
2.404363000000000028e+00 5.508423082009000114e-36
2.409905000000000186e+00 5.346541683080999853e-36
2.415461000000000080e+00 5.189757834815999478e-36
2.421028999999999876e+00 5.037896964675999585e-36
2.426610000000000156e+00 4.890789749168999975e-36
2.432204000000000033e+00 4.748280693024999355e-36
2.437810999999999950e+00 4.610218768163999604e-36
2.443430999999999909e+00 4.476444609121000227e-36
2.449063000000000212e+00 4.346820519408999979e-36
2.454708999999999808e+00 4.221212684480998949e-36
2.460367999999999888e+00 4.099478930088999816e-36
2.466038999999999870e+00 3.981497446160999580e-36
2.471724000000000032e+00 3.867137982015999605e-36
2.477421999999999791e+00 3.756285876995999322e-36
2.483133000000000035e+00 3.648825836099999577e-36
2.488856999999999875e+00 3.544645894728999622e-36
2.494594999999999896e+00 3.443637335616000176e-36
2.500344999999999818e+00 3.345694607375999935e-36
2.506108999999999920e+00 3.250726062529000306e-36
2.511886000000000063e+00 3.158628226009000010e-36
2.517676999999999943e+00 3.069307779135999907e-36
2.523480999999999863e+00 2.982677523848999827e-36
2.529297999999999824e+00 2.898652666849000067e-36
2.535128999999999966e+00 2.817147406095999988e-36
2.540973000000000148e+00 2.738078421796000289e-36
2.546829999999999927e+00 2.661371339640999882e-36
2.552700999999999887e+00 2.586947343200999717e-36
2.558586000000000027e+00 2.514739438849000105e-36
2.564484000000000208e+00 2.444672967024999898e-36
2.570396000000000125e+00 2.376678555904000007e-36
2.576321000000000083e+00 2.310694889409000120e-36
2.582260000000000222e+00 2.246656243224999965e-36
2.588213000000000097e+00 2.184501736035999717e-36
2.594179000000000013e+00 2.124175077024999903e-36
2.600159999999999805e+00 2.065612826175999821e-36
2.606154000000000082e+00 2.008764801480999878e-36
2.612160999999999955e+00 1.953576471616000278e-36
2.618183000000000149e+00 1.899994830409000116e-36
2.624219000000000079e+00 1.847973797604000292e-36
2.630268000000000050e+00 1.797460401635999797e-36
2.636331000000000202e+00 1.748411175625000046e-36
2.642408999999999786e+00 1.700778531321000195e-36
2.648499999999999854e+00 1.654521383524000076e-36
2.654605999999999799e+00 1.609594615204000161e-36
2.660724999999999785e+00 1.565959412688999857e-36
2.666859000000000091e+00 1.523577954888999964e-36
2.673005999999999993e+00 1.482408521763999967e-36
2.679168000000000216e+00 1.442415412035999931e-36
2.685344000000000175e+00 1.403563847841000301e-36
2.691535000000000011e+00 1.365819954489000010e-36
2.697738999999999887e+00 1.329148434769000087e-36
2.703958000000000084e+00 1.293514979583999812e-36
2.710192000000000156e+00 1.258892976016000155e-36
2.716438999999999826e+00 1.225249748099999940e-36
2.722700999999999816e+00 1.192555729763999830e-36
2.728978000000000126e+00 1.160782140815999982e-36
2.735269000000000172e+00 1.129903094960999946e-36
2.741573999999999955e+00 1.099891245048999966e-36
2.747894000000000059e+00 1.070719979536000025e-36
2.754229000000000038e+00 1.042363405444000082e-36
2.760578000000000198e+00 1.014800361129000053e-36
2.766941999999999791e+00 9.880051862402498484e-37
2.773320000000000007e+00 9.619556934835601406e-37
2.779713000000000100e+00 9.366300654122499501e-37
2.786121000000000070e+00 9.120070460883599126e-37
2.792543999999999915e+00 8.880657402817600539e-37
2.798980999999999941e+00 8.647863577332098676e-37
2.805433999999999983e+00 8.421494299689999434e-37
2.811901000000000206e+00 8.201361736276900257e-37
2.818382999999999861e+00 7.987286461424400338e-37
2.824879999999999836e+00 7.779088296739601106e-37
2.831392000000000131e+00 7.576600487068899381e-37
2.837918999999999858e+00 7.379655280206400910e-37
2.844460999999999906e+00 7.188092654064400043e-37
2.851017999999999830e+00 7.001758325780100161e-37
2.857591000000000214e+00 6.820498599416099478e-37
2.864177999999999891e+00 6.644171909004100730e-37
2.870781000000000027e+00 6.472632110128899410e-37
2.877397999999999900e+00 6.305744812038399997e-37
2.884030999999999789e+00 6.143375804496100457e-37
2.890680000000000138e+00 5.985395833315600328e-37
2.897343999999999919e+00 5.831680426393599823e-37
2.904023000000000021e+00 5.682106710062499228e-37
2.910716999999999999e+00 5.536559392963599142e-37
2.917426999999999992e+00 5.394921597016900406e-37
2.924151999999999862e+00 5.257083783062500714e-37
2.930893000000000193e+00 5.122939111584100024e-37
2.937650000000000095e+00 4.992381973104099261e-37
2.944421999999999873e+00 4.865312208204100174e-37
2.951208999999999971e+00 4.741630740249999848e-37
2.958012999999999781e+00 4.621243690872900874e-37
2.964831000000000216e+00 4.504056784552899732e-37
2.971665999999999919e+00 4.389983423302500303e-37
2.978515999999999941e+00 4.278933831873600147e-37
2.985383000000000120e+00 4.170824390886399806e-37
2.992265000000000175e+00 4.065573515422499690e-37
2.999162999999999801e+00 3.963101613048899776e-37
3.006076000000000192e+00 3.863331042490000261e-37
3.013005999999999851e+00 3.766187300332900243e-37
3.019951999999999970e+00 3.671597691564099682e-37
3.026912999999999965e+00 3.579491292322499373e-37
3.033891000000000115e+00 3.489801276211599779e-37
3.040884999999999838e+00 3.402457729748100566e-37
3.047895000000000021e+00 3.317399433796900023e-37
3.054921000000000220e+00 3.234562015704100300e-37
3.061962999999999990e+00 3.153883824302500649e-37
3.069021999999999917e+00 3.075308043811600358e-37
3.076096999999999859e+00 2.998774787544900211e-37
3.083187999999999818e+00 2.924229998822499558e-37
3.090294999999999792e+00 2.851617672291599798e-37
3.097418999999999922e+00 2.780887412174399577e-37
3.104560000000000208e+00 2.711986849027599835e-37
3.111715999999999926e+00 2.644865926627600405e-37
3.118889999999999940e+00 2.579477826873600017e-37
3.126078999999999830e+00 2.515774806249999517e-37
3.133286000000000016e+00 2.453710280803599341e-37
3.140509000000000217e+00 2.393242715808399597e-37
3.147747999999999990e+00 2.334326663116900315e-37
3.155005000000000059e+00 2.276921632409999527e-37
3.162278000000000144e+00 2.220986175475599711e-37
3.169566999999999801e+00 2.166481708430400017e-37
3.176874000000000198e+00 2.113369617959999436e-37
3.184197000000000166e+00 2.061612208800400527e-37
3.191537999999999986e+00 2.011174479054399771e-37
3.198894999999999822e+00 1.962019562196099991e-37
3.206268999999999814e+00 1.914115000360000439e-37
3.213661000000000101e+00 1.867426460512899786e-37
3.221068999999999960e+00 1.821922148640399796e-37
3.228493999999999975e+00 1.777571001562499996e-37
3.235936999999999841e+00 1.734341006976399817e-37
3.243396000000000168e+00 1.692204227688100008e-37
3.250872999999999902e+00 1.651130895492100051e-37
3.258366999999999791e+00 1.611092760096399999e-37
3.265877999999999837e+00 1.572063025562500222e-37
3.273407000000000178e+00 1.534014722250000038e-37
3.280952999999999786e+00 1.496923064208100075e-37
3.288515999999999995e+00 1.460762284806399980e-37
3.296097000000000055e+00 1.425507229692100071e-37
3.303694999999999826e+00 1.391135582284899934e-37
3.311310999999999893e+00 1.357624031402500002e-37
3.318944999999999812e+00 1.324949080022500133e-37
3.326595000000000191e+00 1.293089955393600046e-37
3.334264000000000117e+00 1.262024914500100018e-37
3.341950000000000198e+00 1.231733427523599937e-37
3.349654000000000131e+00 1.202196125290000185e-37
3.357375999999999916e+00 1.173392008136100085e-37
3.365115999999999996e+00 1.145303299828899935e-37
3.372872999999999788e+00 1.117910592928900108e-37
3.380647999999999875e+00 1.091196926892900203e-37
3.388441999999999954e+00 1.065143743171600108e-37
3.396253000000000188e+00 1.039734865806399857e-37
3.404081999999999830e+00 1.014953827555600135e-37
3.411929000000000212e+00 9.907832724240999771e-38
3.419794000000000000e+00 9.672087560004000759e-38
3.427677999999999781e+00 9.442142859248999380e-38
3.435579000000000160e+00 9.217854632464000499e-38
3.443499000000000088e+00 8.999070024025000119e-38
3.451436999999999866e+00 8.785663539843998911e-38
3.459394000000000080e+00 8.577482842756000173e-38
3.467369000000000145e+00 8.374402548735999935e-38
3.475362000000000062e+00 8.176294174084000774e-38
3.483372999999999831e+00 7.983020779776001208e-38
3.491403000000000034e+00 7.794476675880999621e-38
3.499451999999999785e+00 7.610525003524000072e-38
3.507518999999999831e+00 7.431059644009000541e-38
3.515604000000000173e+00 7.255960428721001764e-38
3.523709000000000202e+00 7.085126004100000926e-38
3.531832000000000082e+00 6.918441265849000507e-38
3.539972999999999814e+00 6.755804251249000809e-38
3.548134000000000121e+00 6.597110058255999821e-38
3.556312999999999835e+00 6.442261261921000403e-38
3.564510999999999985e+00 6.291162551961000578e-38
3.572728000000000126e+00 6.143720694408999260e-38
3.580963999999999814e+00 5.999839594848999393e-38
3.589218999999999937e+00 5.859435073129000854e-38
3.597493000000000052e+00 5.722415112648999495e-38
3.605786000000000158e+00 5.588699305849000473e-38
3.614098999999999950e+00 5.458199565840998538e-38
3.622430000000000039e+00 5.330843735044000327e-38
3.630780999999999814e+00 5.206547349796000228e-38
3.639149999999999885e+00 5.085236972208999945e-38
3.647539999999999782e+00 4.966836249599999639e-38
3.655947999999999976e+00 4.851274958720998995e-38
3.664375999999999856e+00 4.738480008024999900e-38
3.672823000000000171e+00 4.628388574161000365e-38
3.681290000000000173e+00 4.520926305008999558e-38
3.689776000000000167e+00 4.416033262095999836e-38
3.698281999999999847e+00 4.313642378760999673e-38
3.706806999999999963e+00 4.213692241984000316e-38
3.715352000000000210e+00 4.116126822976000338e-38
3.723917000000000144e+00 4.020883185796000456e-38
3.732502000000000209e+00 3.927907791025000443e-38
3.741105999999999820e+00 3.837140335044000543e-38
3.749730000000000008e+00 3.748529676544000068e-38
3.758373999999999882e+00 3.662021876881000031e-38
3.767037999999999887e+00 3.577564188025000209e-38
3.775722000000000023e+00 3.495108769441000173e-38
3.784425999999999846e+00 3.414608753955999588e-38
3.793149999999999800e+00 3.336010925624999671e-38
3.801893999999999885e+00 3.259270569025000052e-38
3.810658000000000101e+00 3.184340318784000113e-38
